id,nombre
1,Desarrollo Web
2,Programación en Java
3,Programación en Python
4,DevOps
5,Cloud Computing
6,Infraestructura IT
7,Seguridad en la Nube
8,Microservicios
9,Contenedores y Docker
10,CI/CD y Automatización
11,Desarrollo de Aplicaciones Móviles
12,Bases de Datos y SQL
13,Big Data y Data Science
14,Inteligencia Artificial
15,Machine Learning
16,Deep Learning
17,Blockchain y Criptomonedas
18,Programación Funcional
19,Programación Orientada a Objetos
20,Programación Concurrente y Paralela
21,Testing y QA Automatizado
22,Desarrollo de Videojuegos
23,Realidad Virtual y Aumentada
24,Programación en JavaScript
25,Desarrollo Frontend
26,Desarrollo Backend
27,Seguridad en Aplicaciones Web
28,Cloud Native y Kubernetes
29,Internet of Things (IoT)
30,Arquitectura de Microservicios
31,Serverless Computing
32,Automatización de Pruebas
33,Programación con APIs RESTful
34,Programación en C# y .NET
35,Programación en C/C++
36,Desarrollo de Software Embedded
37,Desarrollo de Software de Código Abierto
38,java
